,model_name,time_period,threshold,accuracy,precision,recall,f1,auc_roc
0,svm_model,period_1,-1.0,0.5437932822843894,0.2894855741302524,0.531965365911517,0.37493730145460624,0.5399271547809598
0,svm_model,period_1,-0.9,0.571127856249428,0.2927745451867128,0.47147432095836794,0.3612322791712104,0.5385546403543278
0,svm_model,period_1,-0.8,0.598706488910583,0.2984208279982928,0.41466018265923377,0.3470664151692644,0.5385482611998321
0,svm_model,period_1,-0.7,0.6261020775496506,0.30644671591944134,0.3591507531728146,0.3307121013543032,0.5388451318024414
0,svm_model,period_1,-0.6,0.6502638884651759,0.3150384193194292,0.3063693512038904,0.3106434155141311,0.537856927943
0,svm_model,period_1,-0.5,0.6731443912260898,0.3260703946365991,0.2538251690190962,0.28544751233826865,0.5360837690010875
0,svm_model,period_1,-0.4,0.6915403154458647,0.33510011778563015,0.20246708575495195,0.25242144177449166,0.531679575405815
0,svm_model,period_1,-0.3,0.7051770950913695,0.3430099312452254,0.1597675246115526,0.21799643955332576,0.5269019978898078
0,svm_model,period_1,-0.2,0.7174410445712194,0.3589134125636672,0.12537065591270313,0.1858298171589311,0.5239141763217203
0,svm_model,period_1,-0.1,0.7260136062723085,0.3751135331516803,0.09797177084568853,0.1553653719552337,0.5207289444009945
0,svm_model,period_1,0.0,0.7300710820952439,0.37325227963525837,0.0728264737279089,0.12187375942834458,0.5152410666651701
0,svm_model,period_2,-1.0,0.35238139448519173,0.32332495193018784,0.9666863207547169,0.48457531311190755,0.5183411275815867
0,svm_model,period_2,-0.9,0.36542568006684617,0.326444198003831,0.9545990566037735,0.4865149124784013,0.524595909925413
0,svm_model,period_2,-0.8,0.38283353449076224,0.3308215974640129,0.9383844339622641,0.48918430860260503,0.5329203644265853
0,svm_model,period_2,-0.7,0.4020053848296351,0.33554476806903993,0.9170106132075472,0.4913125888485232,0.5411384547268254
0,svm_model,period_2,-0.6,0.4236375452604215,0.34088597581647645,0.8892983490566038,0.49285189118536066,0.549439796563808
0,svm_model,period_2,-0.5,0.4476835948379909,0.3467577609972432,0.8528891509433962,0.49305496378355346,0.5571533435974605
0,svm_model,period_2,-0.4,0.4730294308792127,0.3537772087067862,0.8145636792452831,0.4933047670058918,0.5652978309493796
0,svm_model,period_2,-0.3,0.49995357905486953,0.36189222884055966,0.7701945754716981,0.49241353312600133,0.5729614969782938
0,svm_model,period_2,-0.2,0.5237675239067867,0.36905569372220964,0.7218455188679245,0.4884057248292026,0.5772799894109238
0,svm_model,period_2,-0.1,0.5524556679974004,0.3807297319863071,0.6721698113207547,0.48611481264324935,0.5847974683382471
0,svm_model,period_2,0.0,0.5777086621483614,0.3926682134570766,0.6236733490566038,0.481918104675665,0.5901264156856403
0,svm_model,period_3,-1.0,0.32994808786525515,0.2846066134549601,0.894481165883571,0.43181730806197377,0.49989301037238504
0,svm_model,period_3,-0.9,0.3684174733071884,0.2848507001068436,0.8068009874970136,0.421046069447042,0.500386803800478
0,svm_model,period_3,-0.8,0.427175662503117,0.2857191018811948,0.6749223540654615,0.4014780075321538,0.5017563982267985
0,svm_model,period_3,-0.7,0.4904676625937932,0.2823797823797824,0.5125428048100661,0.3641404283006592,0.4971130806912543
0,svm_model,period_3,-0.6,0.5613311268786979,0.2792435664153886,0.34219956996097795,0.3075326534263732,0.49536458406782574
0,svm_model,period_3,-0.5,0.6214721283975245,0.27154363897164296,0.19598630246077886,0.22765957446808513,0.4933854696484399
0,svm_model,period_3,-0.4,0.6637952530999932,0.2541089965397924,0.09357330572588994,0.13677900005820381,0.49213777467813064
0,svm_model,period_3,-0.3,0.692788973771904,0.25383473527956457,0.040853707095643864,0.07038002469474551,0.49653282388626785
0,svm_model,period_3,-0.2,0.7072744995806225,0.24787535410764872,0.013936449788962331,0.026389203046068004,0.49855461100171905
0,svm_model,period_3,-0.1,0.7128284179266883,0.2182741116751269,0.003424384805287887,0.0067429825936960956,0.4992720859252704
0,svm_model,period_3,0.0,0.7145059279577449,0.10638297872340426,0.0003981842796846381,0.0007933989209774675,0.49953360855510415
